,genre,accuracy_score,precision,recall,fscore,roc_auc,classifier
0,action,0.8553069966682532,0.8553069966682532,0.8553069966682532,0.8553069966682532,0.8338974337876901,LinearSVC
1,adult,0.9964302712993812,0.9964302712993812,0.9964302712993812,0.9964302712993812,0.6576501429933269,LinearSVC
2,animation,0.9792955735364113,0.9792955735364113,0.9792955735364113,0.9792955735364113,0.8631104033970276,LinearSVC
3,biography,0.9869109947643979,0.9869109947643979,0.9869109947643979,0.9869109947643979,0.6319098631627401,LinearSVC
4,black,0.9785816277962874,0.9785816277962874,0.9785816277962874,0.9785816277962874,0.8378447872837774,LinearSVC
5,children,0.9845311756306521,0.9845311756306521,0.9845311756306521,0.9845311756306521,0.6476540025791091,LinearSVC
6,comedy,0.819371727748691,0.819371727748691,0.819371727748691,0.819371727748691,0.8060261685848391,LinearSVC
7,crime,0.9664445502141837,0.9664445502141837,0.9664445502141837,0.9664445502141837,0.808542592947384,LinearSVC
8,documentary,0.9930985245121371,0.9930985245121371,0.9930985245121371,0.9930985245121371,0.72917663954045,LinearSVC
9,drama,0.702284626368396,0.702284626368396,0.702284626368396,0.702284626368396,0.7143744946495703,LinearSVC
10,fantasy,0.9871489766777725,0.9871489766777725,0.9871489766777725,0.9871489766777725,0.6390662470023981,LinearSVC
11,history,0.9961922893860067,0.9961922893860067,0.9961922893860067,0.9961922893860067,0.6862107112643978,LinearSVC
12,musical,0.9738219895287958,0.9738219895287958,0.9738219895287958,0.9738219895287958,0.8124729788153913,LinearSVC
13,mystery,0.9835792479771537,0.9835792479771537,0.9835792479771537,0.9835792479771537,0.8103439980755353,LinearSVC
14,political,0.9978581627796288,0.9978581627796288,0.9978581627796288,0.9978581627796288,,LinearSVC
15,romance,0.947405997144217,0.947405997144217,0.947405997144217,0.947405997144217,0.8343415804980436,LinearSVC
16,series,0.9950023798191338,0.9950023798191338,0.9950023798191338,0.9950023798191338,0.8891278375149343,LinearSVC
17,short,0.9961922893860067,0.9961922893860067,0.9961922893860067,0.9961922893860067,0.7977467811158798,LinearSVC
18,sports,0.9969062351261304,0.9969062351261304,0.9969062351261304,0.9969062351261304,0.7148646347692832,LinearSVC
19,thriller,0.8990956687291766,0.8990956687291766,0.8990956687291766,0.8990956687291766,0.8199318429102256,LinearSVC
20,action,0.8612565445026178,0.8612565445026178,0.8612565445026178,0.8612565445026178,0.8148962918734325,MultinomialNB
21,adult,0.9985721085197525,0.9985721085197525,0.9985721085197525,0.9985721085197525,0.7164760088973626,MultinomialNB
22,animation,0.9804854831032842,0.9804854831032842,0.9804854831032842,0.9804854831032842,0.8297566552343622,MultinomialNB
23,biography,0.98857686815802,0.98857686815802,0.98857686815802,0.98857686815802,0.6139185881072938,MultinomialNB
24,black,0.9842931937172775,0.9842931937172775,0.9842931937172775,0.9842931937172775,0.8371201496026182,MultinomialNB
25,children,0.9876249405045217,0.9876249405045217,0.9876249405045217,0.9876249405045217,0.630197778942943,MultinomialNB
26,comedy,0.8012851023322227,0.8012851023322227,0.8012851023322227,0.8012851023322227,0.7791890029254807,MultinomialNB
27,crime,0.9723940980485483,0.9723940980485483,0.9723940980485483,0.9723940980485483,0.8188365583867907,MultinomialNB
28,documentary,0.9940504521656354,0.9940504521656354,0.9940504521656354,0.9940504521656354,0.6878291048348493,MultinomialNB
29,drama,0.7099000475963827,0.7099000475963827,0.7099000475963827,0.7099000475963827,0.718280065311263,MultinomialNB
30,fantasy,0.990242741551642,0.990242741551642,0.990242741551642,0.990242741551642,0.5817895683453238,MultinomialNB
31,history,0.9976201808662541,0.9976201808662541,0.9976201808662541,0.9976201808662541,0.6824580811696059,MultinomialNB
